signal,best_horizon,mean_ic,t_stat,information_ratio,p_value_bonferroni,verdict
abnormal_volume,5,0.10799660212130738,2.6284108651284663,0.2902594229878442,0.08578483388456293,inconclusive
fundamentals,20,0.052154195011337875,1.1058172718355925,0.12065455602324193,1.0,inconclusive
insider,5,0.05254782086749842,1.3828560094557345,0.1499917936142562,1.0,inconclusive
institutional,5,0.0162833150784958,0.4926295320262201,0.05407311603192551,1.0,inconclusive
sector_momentum,5,-0.09859546098338785,-2.5095419191839388,-0.27219803872184045,0.12088786648567018,inconclusive
